,icao24,start,end
455,a3b4d6,2418,688305
456,acbc0c,2420,206903
457,acbc0c,222979,231312
458,acb824,2422,1740348
459,abdc56,2429,612080
460,abb595,2433,1222406
461,a5414a,2445,413232
462,a2bb83,2467,1228796
463,a48c07,2476,200573
464,a6bf5a,2480,823734
465,a6f403,2484,695687
466,7c6de0,2488,1208025
467,4070a7,2492,1464773
468,accd7e,2495,400149
469,872f5c,2500,443715
470,a39ac6,2526,1623974
471,ad5658,2546,925823
472,e4855e,2548,1207041
473,e4855e,1213312,1698944
474,a72c78,2551,1125900
475,acc02b,2560,754520
476,a5a888,2565,925526
477,e48c30,2570,1593623
478,a45592,2582,1315909
479,a9b85b,2596,1088619
480,c1e5de,2607,198832
481,c1e5de,1221818,1444042
482,a43ea3,2610,1438817
483,a0960c,2626,1190857
484,495301,2631,1162253
485,4952aa,2636,1250717
486,e47f0f,2641,321744
487,a8a083,2643,1257148
488,4bb467,2663,761140
489,ad4f81,2669,927137
490,a9ce0f,2680,1140828
491,a280a4,2687,253348
492,ade543,2705,223670
493,84b868,2706,306812
494,7c6ca0,2713,1440256
495,8681ae,2715,164551
496,8681ae,1624962,1639576
497,8681ae,1658645,1660191
498,8681ae,1715274,1716689
499,8681ae,1735742,1744845
500,a81006,2716,1574825
501,a21026,2719,560087
502,a21026,563029,1010411
503,a26454,2729,667451
504,a445ef,2750,833212
505,a326ca,2757,964898
506,a326ca,981038,1069744
507,acba1b,2758,1417810
508,acba1b,1483275,1489639
509,a02390,2769,1287979
510,a8ced2,2776,1348496
511,ac15d1,2784,193829
512,ac15d1,208487,1033171
513,a01097,2803,110167
514,a05cc7,2808,531933
515,a4189f,2822,455098
516,a3460e,2834,195534
517,ab58b2,2842,1382100
518,a04424,2845,1136632
519,aaeb0e,2846,1646877
520,3c542a,2858,575935
521,aa1f65,2866,1545678
522,a64163,2871,1085835
523,a6e767,2872,786022
524,a673cf,2892,94387
525,a673cf,264866,416730
526,ac77d3,2894,1491564
527,aaa244,2901,803505
528,aa9d1a,2902,1397721
529,a706ea,2908,1038859
530,aaf5a9,2918,256295
531,aae16b,2923,318140
532,ab6b04,2926,578264
533,aa017c,2934,301212
534,c1e0ec,2935,840325
535,abb507,2950,1246616
536,ada699,2954,921821
537,a9d807,2963,816999
538,c05737,2974,1419124
539,aaed5a,2976,1318223
540,a0fe7a,2981,379343
541,a06dc9,2982,1097616
542,a7fbbb,2986,125860
543,a2a6fe,2987,1390990
544,a51d1b,2996,1610879
545,aae162,3004,815831
546,abe4db,3009,1582805
547,a91536,3012,884607
548,a324d9,3013,803709
549,474802,3020,1590113
550,a390ff,3021,1757627
551,a3b268,3036,1545720
552,acbeb0,3038,523222
553,a66174,3046,1461478
554,a21053,3059,1011880
555,ae1460,3061,264602
556,a011ac,3062,356807
557,a4bf49,3064,1141910
558,a455c7,3066,517234
559,c03001,3068,1374839
560,a24aca,3074,349746
561,a6280c,3083,1717233
562,adce2a,3085,16656
563,a2195d,3086,1193793
564,a06703,3087,264089
565,a22d7b,3100,147074
566,a9db33,3110,705401
567,ab6cb0,3111,59518
568,a2d1bc,3115,995296
569,a27f07,3117,1120802
